id;name;original_language;first_air_date;production_companies[0].name;production_companies[1].name;production_companies[2].name
207;Bear in the Big Blue House;en;20/10/1997;Shadow Projects;Jim Henson Television;The Jim Henson Company
208;The Fantasy Show;en;31/08/2006;-;-;-
209;The New Inventors;en;12/12/2012;-;-;-
210;The Man from U.N.C.L.E.;en;22/09/1964;MGM Television;Arena Productions;-
211;The Game;en;01/10/2006;-;-;-
212;Runaway;en;25/09/2006;-;-;-
213;The Gallant Men;en;05/10/1962;-;-;-
214;L'Gros Show;en;12/12/2012;-;-;-
215;Rookie Vets;en;12/12/2012;-;-;-
216;Duck Dodgers;en;23/08/2003;Warner Bros. Television;-;-
217;Inside the Actors Studio;en;01/06/1994;The Actors Studio;In the Moment Productions Ltd.;Bravo Cable
218;Inhumanoids;en;21/09/1986;Sunbow Productions;Marvel Productions;Hasbro
219;Kyle XY;en;26/06/2006;-;-;-
220;Big Day;en;28/11/2006;Sony Pictures Television Studios;-;-
221;The Many Loves of Dobie Gillis;en;29/09/1959;Martin Manulis Productions;20th Century Fox Television;-
222;Deep Sea Detectives;en;01/04/2003;-;-;-
223;Being Ian;en;26/04/2005;Studio B Productions;Nelvana;-
224;Match of the Day;en;22/08/1964;BBC Sport;-;-
225;Sharpe;;12/12/2012;-;-;-
226;Battle Dome;en;18/09/1999;Columbia TriStar Television;-;-
227;The Mike O'Malley Show;en;21/09/1999;-;-;-
228;The High Life;;12/12/2012;-;-;-
229;The Garry Moore Show;en;30/09/1958;-;-;-
230;The New Scooby and Scrappy-Doo Show;en;10/09/1983;Hanna-Barbera Productions;-;-
231;The Soup;en;01/07/2004;E! Entertainment Television;-;-
232;Ultraviolet;en;15/09/1998;World Productions;Channel 4 Television;-
233;Who Wants to Be a Superhero?;en;27/07/2006;Nash Entertainment;-;-
234;My Gym Partner's a Monkey;en;26/12/2005;Cartoon Network Studios;-;-
235;G.B.H.;en;06/06/1991;GBH Films Ltd.;Channel 4 Television;-
236;The Flash;en;20/09/1990;Warner Bros. Television;Pet Fly Productions;-
237;Mortal Kombat: Conquest;en;03/10/1998;-;-;-
238;Star Cops;en;06/07/1987;-;-;-
239;Strangebrew;en;12/12/2012;-;-;-
240;Jackie Chan Adventures;en;09/09/2000;Columbia TriStar Television;Adelaide Productions;Blue Train Entertainment
241;Evacuation;en;04/09/2006;-;-;-
242;USA Network Thursday Night Baseball;en;09/04/2009;-;-;-
243;Penn & Teller: Bullshit!;en;24/01/2003;-;-;-
244;Men of the World;en;14/03/1994;-;-;-
245;The Brittas Empire;en;03/01/1991;-;-;-
